id,type,award,ptype
P1422,Journal,Best Paper,Journal
P1873,Journal,Best Paper,Journal
P1040,Journal,Best Paper,Journal
P1072,Journal,Best Paper,Journal
P1121,Journal,Best Paper,Journal
P1220,Journal,Best Paper,Journal
P1317,Journal,Honorable Mention,Journal
P1561,Journal,Honorable Mention,Journal
P1631,Journal,Honorable Mention,Journal
P1307,Journal,Honorable Mention,Journal
P1727,Journal,Honorable Mention,Journal
P2043,Journal,Honorable Mention,Journal
P2113,Journal,Honorable Mention,Journal
P1016,Journal,Honorable Mention,Journal
P1126,Journal,Honorable Mention,Journal
P1232,Journal,Honorable Mention,Journal
P2112,Journal,Honorable Mention,Journal